DATE;Mapped_GCK;Sales_EUR
23.06.2021;#3;4172675,78
15.06.2021;#6;0
28.06.2021;#4;514639,08
09.06.2021;#4;0
10.06.2021;#4;0
07.06.2021;#5;0
22.06.2021;#5;0
22.06.2021;#3;0
29.06.2021;#3;0
02.07.2021;#3;-800,81
10.06.2021;#3;0
09.06.2021;#3;0
20.12.2018;#1;0
21.12.2018;#1;786885,64
27.06.2021;#9;0
22.06.2021;#13;0
28.06.2021;#9;2516,88
23.06.2021;#12;41846,5
24.06.2021;#14;0
30.06.2021;#13;1567,52
17.06.2021;#8;0
22.06.2021;#36;0
17.06.2021;#36;0
10.06.2021;#8;0
01.07.2021;#8;0
11.04.2019;#20;0
26.04.2019;#9;0
26.04.2019;#8;122388,25
05.04.2019;#8;0
24.04.2019;#8;0
04.04.2019;#8;0
10.04.2019;#36;0
24.04.2019;#36;0
30.10.2018;#16;199350
29.10.2018;#16;6645
31.10.2018;#16;0
16.10.2018;#5;0
04.10.2018;#11;0
17.10.2018;#11;0
01.10.2018;#11;0
18.10.2018;#6;0
17.10.2018;#4;0
19.10.2018;#4;0
30.10.2018;#4;0
04.10.2018;#4;0
22.10.2018;#5;0
08.10.2018;#3;0
30.10.2018;#3;23680
05.11.2018;#3;-688,69
14.01.2022;#9;1060
22.12.2018;#1;0
26.01.2022;#12;0
27.01.2022;#9;1033,2
24.01.2022;#20;0
07.01.2022;#14;0
20.01.2022;#8;0
14.01.2022;#8;90981,94
21.01.2022;#8;81008,51
17.01.2022;#8;0
24.01.2022;#8;250843,5
05.01.2022;#8;0
28.01.2022;#36;0
05.10.2021;#16;0
24.12.2018;#1;0
25.12.2018;#1;0
26.12.2018;#1;0
27.12.2018;#1;0
01.11.2021;#12;6337,91
29.10.2021;#12;203550,43
12.10.2021;#12;0
02.11.2021;#3;0
01.10.2021;#36;0
29.10.2021;#11;124600
19.10.2021;#6;0
11.10.2021;#6;0
08.10.2021;#4;0
14.10.2021;#4;0
25.10.2021;#3;0
18.10.2021;#4;0
13.10.2021;#5;0
03.11.2021;#3;0
15.10.2021;#3;0
19.10.2021;#13;0
28.12.2018;#1;63674,53
28.10.2021;#8;0
06.10.2021;#8;0
21.10.2021;#8;0
11.10.2021;#8;0
26.10.2021;#8;0
23.03.2021;#12;0
30.03.2021;#13;0
26.03.2021;#9;0
12.03.2021;#8;62919,59
30.03.2021;#8;0
04.03.2021;#8;0
03.03.2021;#36;0
18.03.2021;#20;0
21.10.2020;#16;0
28.10.2020;#16;71609,94
03.11.2020;#5;23933,26
29.10.2020;#11;0
14.10.2020;#16;0
08.10.2020;#16;0
08.10.2020;#5;0
20.10.2020;#5;0
05.10.2020;#6;0
14.10.2020;#4;0
02.11.2020;#4;-56,55
01.10.2020;#4;0
01.10.2020;#6;0
12.10.2020;#12;0
29.10.2020;#3;0
12.10.2020;#3;0
22.10.2020;#3;0
27.10.2020;#3;0
02.10.2020;#3;49986
28.10.2020;#8;104251,59
24.10.2020;#3;0
19.10.2020;#9;0
02.11.2020;#8;2800
08.10.2020;#9;0
29.12.2018;#1;0
20.10.2020;#12;0
01.10.2020;#12;5395
19.10.2020;#13;0
05.10.2020;#12;0
12.10.2020;#13;0
06.10.2020;#9;-35,25
21.10.2020;#9;0
13.10.2020;#13;0
30.12.2018;#1;0
09.10.2020;#8;0
26.02.2021;#5;2774468,49
01.02.2021;#36;7345,17
23.02.2021;#36;0
24.02.2021;#11;1180542,33
06.02.2021;#11;0
26.02.2021;#11;0
03.02.2021;#11;0
17.02.2021;#11;0
12.02.2021;#16;27722,07
08.02.2021;#4;0
23.02.2021;#4;0
11.02.2021;#4;0
20.02.2021;#4;0
02.02.2021;#5;0
31.12.2018;#1;0
21.02.2021;#3;0
01.01.2019;#1;0
06.02.2021;#3;0
02.01.2019;#1;24656215,41
03.01.2019;#1;-79503,43
04.02.2021;#12;0
24.02.2021;#13;1800
12.02.2021;#13;8358
25.02.2021;#12;0
12.02.2021;#20;846
17.02.2021;#9;0
17.02.2021;#8;0
06.06.2019;#36;0
25.06.2019;#11;0
20.06.2019;#16;0
08.10.2021;#5;0
13.10.2021;#12;0
04.01.2019;#1;0
05.01.2019;#1;0
06.01.2019;#1;0
16.01.2020;#16;0
08.07.2019;#16;216,84
12.07.2019;#36;14887
08.07.2019;#11;0
03.08.2019;#11;0
08.07.2019;#6;0
12.07.2019;#6;0
02.07.2019;#6;0
04.07.2019;#6;0
17.07.2019;#4;0
18.07.2019;#4;0
15.07.2019;#4;0
22.07.2019;#5;0
16.07.2019;#3;0
31.07.2019;#3;1287433,92
12.07.2019;#3;2761149,92
04.07.2019;#3;0
03.07.2019;#3;0
10.07.2019;#3;0
03.08.2019;#3;0
01.07.2019;#20;0
28.07.2019;#3;0
07.01.2019;#1;0
08.01.2019;#1;0
15.07.2019;#9;0
15.07.2019;#13;0
08.07.2019;#12;0
17.07.2019;#8;0
09.07.2019;#8;0
26.07.2019;#8;0
30.07.2019;#8;0
08.07.2019;#8;0
17.12.2019;#6;0
03.12.2019;#6;0
06.12.2019;#6;0
04.12.2019;#6;0
02.01.2020;#4;0
13.12.2019;#4;91884,2
03.12.2019;#4;0
10.12.2019;#5;0
02.12.2019;#5;0
06.12.2019;#5;0
12.12.2019;#3;-1000
05.01.2020;#3;202712,88
18.12.2019;#20;0
09.01.2019;#1;0
10.01.2019;#1;0
02.12.2019;#12;43307,89
17.12.2019;#12;0
18.12.2019;#12;114784,4
04.12.2019;#13;0
09.12.2019;#9;0
21.12.2019;#8;0
11.01.2019;#1;706406,97
21.10.2019;#5;0
23.10.2019;#11;0
28.10.2019;#16;0
02.10.2019;#16;0
30.10.2019;#16;137132,57
30.10.2019;#6;0
07.10.2019;#6;0
17.10.2019;#4;0
14.10.2019;#4;0
10.10.2019;#4;0
31.10.2019;#3;2705165,61
14.10.2019;#5;0
22.10.2019;#3;0
01.10.2019;#3;0
15.10.2019;#3;0
07.10.2019;#3;-4410,26
01.11.2019;#3;94427,48
10.10.2019;#20;0
12.01.2019;#1;0
14.01.2019;#1;0
29.10.2019;#12;79707,6
15.01.2019;#1;0
31.10.2019;#12;21184,34
28.10.2019;#12;0
23.10.2019;#13;0
14.10.2019;#12;0
16.01.2019;#1;0
21.10.2019;#13;0
29.10.2019;#13;49418,15
24.10.2019;#9;0
16.10.2019;#8;0
21.10.2019;#8;0
25.10.2019;#8;0
14.10.2019;#8;0
17.10.2019;#8;0
28.10.2019;#8;0
27.10.2019;#8;0
21.10.2019;#36;0
11.10.2019;#8;0
15.10.2019;#36;0
09.07.2019;#36;0
20.10.2019;#3;0
19.01.2022;#16;0
26.01.2022;#16;0
17.01.2019;#1;0
17.01.2022;#9;0
03.01.2022;#9;0
18.01.2019;#1;1021996,86
19.01.2019;#1;0
21.01.2019;#1;0
22.01.2019;#1;0
09.02.2021;#16;0
27.02.2020;#16;10154,34
23.01.2019;#1;0
24.01.2019;#1;781948,18
17.11.2021;#12;0
01.12.2021;#12;10886,7
12.11.2021;#8;355591,36
18.11.2021;#11;0
08.11.2021;#11;0
05.11.2021;#6;0
16.11.2021;#6;0
11.11.2021;#6;0
09.11.2021;#6;0
12.11.2021;#4;79766,13
08.11.2021;#5;0
16.11.2021;#5;0
18.11.2021;#5;0
17.11.2021;#5;0
10.11.2021;#13;0
19.11.2021;#12;29604,23
30.11.2021;#9;0
12.11.2021;#13;6479
30.11.2021;#13;0
12.11.2021;#20;928,8
29.11.2021;#8;0
16.11.2021;#12;0
25.01.2019;#1;0
26.01.2019;#1;0
28.01.2019;#1;0
22.12.2020;#12;0
09.12.2020;#12;0
29.01.2019;#1;277480,3
30.01.2019;#1;0
11.12.2020;#9;7922,5
16.12.2020;#36;0
18.12.2020;#5;499589,05
10.12.2020;#13;0
04.12.2020;#8;0
10.12.2020;#5;0
29.12.2020;#8;0
16.12.2020;#5;0
30.12.2020;#5;732293,69
22.12.2020;#5;0
08.01.2021;#16;0
29.01.2021;#5;0
21.01.2021;#11;0
05.01.2021;#6;0
02.02.2021;#4;0
18.01.2021;#4;0
04.01.2021;#3;0
20.01.2021;#5;0
26.01.2021;#3;0
31.01.2021;#3;0
31.01.2019;#1;363604,06
01.02.2019;#1;31348710,18
02.02.2019;#1;0
14.01.2021;#12;0
07.01.2021;#12;0
28.01.2021;#12;0
12.01.2021;#12;0
20.01.2021;#12;0
11.01.2021;#12;0
01.02.2021;#20;80
25.01.2021;#14;0
15.01.2021;#12;0
22.01.2021;#8;0
11.01.2021;#8;0
22.01.2021;#20;0
04.02.2020;#11;0
29.01.2020;#11;0
15.01.2020;#11;0
15.01.2020;#6;0
22.01.2020;#6;0
14.01.2020;#6;0
09.01.2020;#4;0
07.01.2020;#4;0
14.01.2020;#4;0
06.01.2020;#4;0
10.01.2020;#3;0
28.01.2020;#3;0
09.01.2020;#3;0
08.01.2020;#3;0
03.02.2019;#1;0
04.02.2019;#1;-14518,53
05.02.2019;#1;0
16.01.2020;#12;0
31.01.2020;#9;7647,5
08.01.2020;#12;0
06.02.2019;#1;0
06.01.2020;#8;0
09.01.2020;#8;0
21.01.2020;#8;0
04.02.2020;#36;0
03.01.2020;#36;0
16.06.2020;#16;0
19.06.2020;#16;15212,04
29.06.2020;#16;0
23.06.2020;#16;67940
11.06.2020;#5;775689,44
26.06.2020;#5;8904827,37
10.06.2020;#11;0
18.06.2020;#5;0
09.06.2020;#6;0
26.06.2020;#6;335647,78
30.06.2020;#4;160465,09
15.06.2020;#4;0
05.06.2020;#4;0
05.06.2020;#5;0
16.06.2020;#5;0
07.02.2019;#1;0
09.06.2020;#12;0
04.06.2020;#20;0
08.02.2019;#1;418748,56
09.02.2019;#1;0
11.02.2019;#1;0
12.02.2019;#1;-47249,04
13.02.2019;#1;0
14.02.2019;#1;0
15.02.2019;#1;853706,68
01.07.2020;#12;11406
11.06.2020;#20;413,1
22.06.2020;#8;0
11.06.2020;#8;-47498,2
15.06.2020;#8;0
18.06.2020;#36;0
07.09.2020;#36;0
23.09.2020;#36;124,66
17.11.2021;#11;0
10.12.2020;#12;0
13.01.2020;#13;0
18.06.2020;#12;0
04.09.2020;#5;0
30.09.2020;#11;369005,67
21.09.2020;#11;0
29.09.2020;#16;23445
02.10.2020;#16;0
16.09.2020;#16;7098,45
30.09.2020;#5;1106622,85
30.09.2020;#3;2893595,63
04.09.2020;#3;300
21.09.2020;#6;0
22.09.2020;#6;0
02.09.2020;#4;0
01.09.2020;#5;23493,28
11.09.2020;#8;261722,51
09.09.2020;#3;0
14.09.2020;#3;0
22.09.2020;#3;0
08.09.2020;#20;0
22.09.2020;#8;0
16.02.2019;#1;0
18.02.2019;#1;0
19.02.2019;#1;0
20.02.2019;#1;0
18.09.2020;#20;1370
04.09.2020;#13;0
29.09.2020;#12;0
23.09.2020;#14;1750
17.09.2020;#12;0
15.09.2020;#14;0
24.09.2020;#8;0
22.11.2019;#16;322,32
27.11.2019;#5;2340930,71
12.11.2019;#5;0
27.11.2019;#36;2863,71
07.11.2019;#11;0
12.11.2019;#6;0
13.11.2019;#6;0
07.11.2019;#6;0
01.11.2019;#6;0
27.11.2019;#3;3965616,45
25.11.2019;#4;0
08.11.2019;#4;21568,48
26.11.2019;#4;0
09.11.2019;#5;0
07.11.2019;#3;0
08.11.2019;#3;2107677,88
12.11.2019;#3;0
28.11.2019;#13;0
21.02.2019;#1;863292,07
25.11.2019;#12;0
17.11.2019;#5;0
14.11.2019;#36;0
06.11.2019;#8;0
27.11.2019;#8;71439,69
26.11.2019;#8;0
07.11.2019;#8;0
14.11.2019;#8;0
10.12.2018;#16;67173,91
19.12.2018;#16;0
21.12.2018;#5;3358874,97
14.12.2018;#36;7331,52
10.12.2018;#5;0
21.12.2018;#11;498016
20.12.2018;#11;0
03.01.2019;#11;2239,02
03.12.2018;#4;0
04.01.2019;#4;0
06.12.2018;#3;0
17.12.2018;#5;0
04.12.2018;#5;-33573,26
12.12.2018;#5;0
04.12.2018;#3;-2448,47
04.01.2019;#3;0
03.01.2019;#3;-2774,65
28.12.2018;#20;415,65
22.02.2019;#1;0
23.02.2019;#1;0
25.02.2019;#1;0
26.02.2019;#1;653182,22
27.02.2019;#1;0
14.12.2018;#13;1132,26
17.12.2018;#12;0
13.12.2018;#12;0
21.12.2018;#20;138
03.12.2018;#8;0
30.01.2019;#16;0
09.01.2019;#16;0
30.01.2019;#11;0
10.01.2019;#11;0
17.01.2019;#11;0
15.01.2019;#6;0
09.01.2019;#5;0
10.01.2019;#4;0
30.01.2019;#5;0
25.01.2019;#3;0
10.01.2019;#3;0
17.01.2019;#20;0
28.02.2019;#1;717291,39
31.01.2019;#12;0
18.01.2019;#13;2854,8
17.01.2019;#12;0
15.01.2019;#13;0
08.01.2019;#9;0
07.01.2019;#8;0
23.01.2019;#8;0
01.03.2019;#1;29719518,22
24.01.2019;#13;0
28.09.2021;#8;525440,11
16.09.2021;#8;0
07.09.2021;#8;0
29.04.2020;#16;0
30.04.2020;#16;0
22.04.2020;#8;0
14.04.2020;#11;0
30.04.2020;#11;9010
22.04.2020;#11;0
23.04.2020;#11;501808
06.05.2020;#6;-4,55E-13
03.04.2020;#6;0
30.04.2020;#4;67059,96
21.04.2020;#4;-67499,2
03.04.2020;#4;0
22.04.2020;#4;0
24.04.2020;#3;0
02.03.2019;#1;0
04.03.2019;#1;-35476,46
05.03.2019;#1;0
06.03.2019;#1;0
30.04.2020;#12;2030
04.05.2020;#12;38063,6
29.04.2020;#20;0
30.04.2020;#8;122839,77
24.04.2020;#8;0
10.04.2020;#8;19781,17
06.04.2020;#8;1104
04.08.2020;#16;0
26.09.2019;#11;1329298,95
20.09.2019;#11;1043603
18.09.2019;#11;0
25.09.2019;#16;302748,12
17.09.2019;#16;0
02.09.2019;#6;0
03.10.2019;#6;0
26.09.2019;#4;262144,25
23.09.2019;#4;35785,86
09.09.2019;#5;0
10.09.2019;#5;0
19.09.2019;#5;0
18.09.2019;#5;0
27.09.2019;#5;0
16.09.2019;#3;0
23.09.2019;#3;1602746,95
27.09.2019;#36;0
07.03.2019;#1;0
13.09.2019;#13;10707,95
02.09.2019;#12;15280
03.09.2019;#8;0
08.03.2019;#1;464595,72
06.09.2019;#8;0
30.09.2019;#36;2868,29
22.02.2019;#3;0
14.02.2019;#3;0
04.03.2019;#3;-312,7
09.03.2019;#1;0
11.03.2019;#1;0
06.02.2019;#12;0
08.02.2019;#12;0
15.02.2019;#14;6234,5
26.02.2019;#9;0
26.02.2019;#20;259
25.02.2019;#12;0
18.02.2019;#12;0
21.02.2019;#9;2354,14
15.02.2019;#9;880,14
21.02.2019;#8;75430,71
18.02.2019;#8;0
19.02.2019;#36;0
26.02.2019;#6;150694,5
01.03.2019;#5;0
30.11.2018;#5;565379,7
27.11.2018;#3;0
23.11.2018;#3;3820377,44
07.11.2018;#3;0
04.11.2018;#3;0
03.11.2018;#5;0
12.03.2019;#1;0
13.03.2019;#1;0
14.03.2019;#1;0
29.11.2018;#9;0
28.11.2018;#12;0
20.11.2018;#13;0
12.11.2018;#36;0
30.11.2018;#8;12628,44
27.04.2020;#6;0
13.09.2019;#36;2905,76
17.09.2019;#8;0
15.03.2019;#1;839007,57
16.03.2019;#1;0
28.12.2020;#13;2218,46
08.12.2020;#11;0
20.12.2020;#16;0
09.12.2020;#6;0
17.12.2020;#4;0
09.12.2020;#4;0
22.12.2020;#4;0
04.12.2020;#4;0
29.12.2020;#4;0
01.12.2020;#4;0
29.12.2020;#12;0
14.09.2020;#16;0
21.09.2020;#16;0
24.08.2020;#36;4005,91
24.08.2020;#11;0
13.08.2020;#11;0
05.08.2020;#6;0
24.08.2020;#6;5495,35
06.08.2020;#4;0
18.08.2020;#5;0
04.08.2020;#3;0
08.08.2020;#3;0
18.03.2019;#1;0
12.08.2020;#13;0
17.08.2020;#12;0
11.08.2020;#14;0
27.08.2020;#20;823
24.08.2020;#8;72743,69
28.08.2020;#8;0
21.08.2020;#36;1501,16
11.09.2019;#20;0
10.09.2019;#36;0
05.09.2019;#11;0
26.02.2019;#36;3574,46
11.02.2019;#11;0
27.02.2019;#11;0
04.02.2019;#6;0
26.02.2019;#4;234908,51
06.02.2019;#4;0
11.02.2019;#4;0
01.03.2019;#4;-4873,81
27.02.2019;#4;0
03.02.2019;#3;0
06.11.2018;#16;0
09.11.2018;#16;26164,22
15.11.2018;#11;0
14.11.2018;#11;0
01.11.2018;#6;0
07.11.2018;#4;0
15.11.2018;#4;0
16.11.2018;#4;64184,5
19.03.2019;#1;0
20.03.2019;#1;0
21.03.2019;#1;0
22.03.2019;#1;1465984,8
23.03.2019;#1;0
25.03.2019;#1;0
17.10.2018;#12;0
24.10.2018;#12;0
26.03.2019;#1;-49,39
25.10.2018;#12;0
24.10.2018;#8;253030,63
19.10.2018;#13;0
09.10.2018;#9;0
30.10.2018;#12;0
10.12.2020;#11;0
24.09.2019;#16;0
06.12.2021;#12;0
30.07.2021;#5;635161,31
30.07.2021;#11;6500
03.08.2021;#11;0
09.07.2021;#11;558322
08.07.2021;#11;0
06.07.2021;#16;0
06.07.2021;#6;0
13.07.2021;#6;0
01.07.2021;#6;0
27.07.2021;#4;0
30.07.2021;#4;31655,7
09.07.2021;#4;60430,68
31.07.2021;#4;0
29.07.2021;#5;0
12.07.2021;#5;0
19.07.2021;#5;0
29.07.2021;#3;0
22.07.2021;#3;0
16.07.2021;#8;50770,64
27.03.2019;#1;627692,1
26.07.2021;#12;0
28.03.2019;#1;0
01.08.2021;#12;10435,24
13.07.2021;#12;0
14.07.2021;#8;0
09.07.2021;#8;292454,13
14.07.2021;#36;0
26.07.2021;#36;0
13.11.2020;#16;7389,2
16.11.2020;#16;0
05.11.2020;#16;4222,4
25.11.2020;#16;2095,4
09.11.2020;#16;118480
30.11.2020;#5;334647,25
30.11.2020;#11;0
11.11.2020;#11;0
11.11.2020;#16;0
14.11.2020;#16;0
09.11.2020;#6;0
20.11.2020;#6;48712,7
18.11.2020;#6;0
16.11.2020;#6;0
18.11.2020;#4;0
16.11.2020;#4;0
26.11.2020;#4;56402,87
19.11.2020;#4;0
17.11.2020;#4;0
11.11.2020;#5;0
24.11.2020;#5;0
20.11.2020;#3;2874880,81
27.11.2020;#3;0
18.11.2020;#3;0
20.11.2020;#8;326411,77
11.11.2020;#12;0
29.03.2019;#1;775530,48
23.11.2020;#12;0
30.11.2020;#9;2429,8
